t,sigma_us,p_scr,cip_model_bps,FX_model
256,0.104891615037803,0.00228449896351249,-139.015252975978,0.967650627105062
257,0.0888182439309321,0.587397072509677,-139.029815819792,0.990654891623605
258,0.0909903661140342,0.0234078186600409,-139.01277584074,0.96485119017155
259,0.0825149302244049,0.0260710814909718,-139.01089174638,0.962733392746065
260,0.0670477837137031,0.997125071862495,-139.041784837872,1.00883297285394
261,0.0684862969259863,0.101583524162481,-139.010086302595,0.962883327169579
262,0.061072132368182,0.211548739891902,-139.012324520006,0.966840336855996
263,0.0589879363450382,0.00837777799910916,-139.004168662613,0.955472364906184
264,0.0624175561960038,0.000153399094396726,-139.00483491689,0.95599411632718
265,0.0515784452461173,0.944504825548533,-139.039048094024,1.00512196638799
266,0.0525512469890946,0.041766276383624,-139.003584113761,0.955485190964035
267,0.0639530931059685,0.0783622294329524,-139.008114033324,0.960519479906054
268,0.0768380678089093,0.120667018992469,-139.012697411464,0.965911833670802
269,0.0498019862197905,1,-139.041162899274,1.00808966759194
270,0.0580704744961243,0.48492420134552,-139.021985656626,0.980839320848601
271,0.0529387083540956,0.292050286891158,-139.013520628424,0.96935025376487
272,0.0531656078346086,0.00361278493414691,-139.002268834091,0.95356120225854
273,0.0544698609444798,8.69558389053673e-05,-139.002526696971,0.953743628307397
274,0.0529304558060903,0.000192583464780806,-139.002063403282,0.953305596239118
275,0.0584228783119983,0.000122906673887045,-139.003693950434,0.954870779770555
276,0.0601542962426856,7.44605410317387e-05,-139.004192796406,0.955356824035742
277,0.0619477471360299,7.8829583427781e-05,-139.004702608984,0.955859908187987
278,0.0674039226426785,0.000136305896450659,-139.006204310471,0.957374322977539
279,0.0647636984955983,0.000383129859954309,-139.005490209271,0.956656636775776
280,0.0541971296299538,0.822823622821436,-139.034465780548,0.99864501261776
281,0.0540989010866891,0.0323940050191667,-139.003672307485,0.955403683322421
282,0.056052801380761,0.000287756915351457,-139.003014952754,0.954210857868578
283,0.0520313218088965,0.00147581185070134,-139.00184107204,0.953117188871592
284,0.0493147621417993,0.000548265869257639,-139.000949535805,0.95226901769487
285,0.0476534959159499,0.000209981425505191,-139.000405571178,0.951759188164918
286,0.0465626527165727,0.000130856204462303,-139.000048743147,0.951429705085812
287,0.0480600024349138,4.35820365977665e-05,-139.000528600756,0.951869982112309
288,0.0441368046259698,0.0022637829561813,-138.999322151487,0.950814206426477
289,0.0441312910979849,7.47641004943301e-05,-138.999229104621,0.950687598025632
290,0.0470910034860353,3.89850315155334e-05,-139.00021901507,0.951583321398577
291,0.0482888355486808,4.66309539887548e-05,-139.000601789842,0.951937787996108
292,0.0473745714679279,0.000116226408229844,-139.000312704562,0.951671481959009
293,0.0438958546923563,0.00133616835927579,-138.999202595315,0.950688109746714
294,0.047722682959036,5.5732609637843e-05,-139.000421389671,0.951770965364187
295,0.0471266169663287,9.46685963245436e-05,-139.00023265871,0.951596985032097
