state,regime,sigma_us,erg_prob,Epi_us_gross_m,Epi_us_harm_gross_m,Epi_eu_gross_m,Epi_eu_harm_gross_m,Epi_us_ann_pct,Epi_eu_ann_pct
136,2,1.92297916553803,2.42844155081922e-05,1.00140281467046,1.0010856468228,0.999999646071767,0.999999636137525,1.69642659691136,-0.000424713052915582
137,2,2.02025967937521,1.54686170426246e-05,1.00144648799794,1.00111339815083,0.99999959009359,0.999999579550253,1.74966176001121,-0.000491886582820733
138,2,2.12246146253346,9.67705918928597e-06,1.00148887881908,1.00113989001822,0.999999535008371,0.999999523846512,1.80135805434547,-0.00055798852747202
139,2,2.22983347434467,5.94579047047543e-06,1.0015300200544,1.00116517596518,0.999999480797017,0.999999469007886,1.85155348001984,-0.000623041800895674
140,2,2.34263726860466,3.58803631276731e-06,1.0015699444738,1.00118930762853,0.999999427440648,0.999999415016147,1.9002859879363,-0.000687069058413758
141,2,2.46114763070743,2.12663156902109e-06,1.00160868461626,1.00121233476634,0.999999374920632,0.999999361853281,1.94759337608208,-0.000750092662882285
142,2,2.58565324701107,1.23800788486171e-06,1.00164627271897,1.00123430528844,0.999999323218598,0.999999309501518,1.99351319735575,-0.000812134659022856
143,2,2.71645740806585,7.0787747356576e-07,1.00168274065383,1.00125526529161,0.999999272316471,0.999999257943348,2.03808267613304,-0.000873216739805116
144,2,2.85387874741745,3.97561462371501e-07,1.00171811986492,1.00127525909875,0.999999222196491,0.999999207161555,2.08133862632269,-0.000933360218269286
145,2,2.9982520177852,2.19315856872121e-07,1.0017524412867,1.00129432930117,0.999999172841258,0.999999157139267,2.12331734565079,-0.000992585974146643
146,2,3.14992890650589,1.18840205930428e-07,1.0017857351609,1.00131251680368,0.999999124233879,0.999999107860099,2.16405438601437,-0.00105091428331816
147,2,3.3092788922296,6.32546255376139e-08,1.00181803040675,1.00132986087299,0.999999076358468,0.999999059308696,2.20358377690786,-0.00110836420751381
148,2,3.47669014495451,3.30723005859198e-08,1.00184935201914,1.00134639919409,0.999999029202279,0.999999011472989,2.24193483220045,-0.00116495104505177
149,2,3.652570471593,1.69858429012636e-08,1.00187970946279,1.00136216795628,0.999998982765138,0.999998964354211,2.2791179207849,-0.00122067500457623
150,2,3.83734830937247,8.56973281962193e-09,1.00190904230949,1.00137720207132,0.999998937103458,0.999998918013517,2.3150578143021,-0.00127546839382431
151,2,4.03147376949077,4.24728376829765e-09,1.00193695421878,1.00139153601947,0.999998892544975,0.999998872799118,2.34926746139119,-0.00132893793490796
152,2,4.23541973356857,3.90965808684759e-09,1.00196139201395,1.00140520773406,0.999998850761342,0.999998830478437,2.37922774159431,-0.00137907767256973
